Designator,Mid X,Mid Y,Rotation,Layer
C201,186.9,-55.2,90.0,top
C202,182.8,-62.6,180.0,top
C203,188.1,-55.2,90.0,top
C204,202.73,-58.65,0.0,top
C205,200.43,-74.85,0.0,top
C206,186.55,-75.337499,270.0,top
C207,182.82,-69.3,180.0,top
C208,202.73,-59.85,0.0,top
C209,198.7,-75.95,0.0,top
C210,182.82,-67.85,180.0,top
C301,208.4,-73.8,0.0,top
C302,208.4,-71.41,0.0,top
C303,208.42,-72.61,0.0,top
C304,208.4,-65.61,0.0,top
C305,208.4,-66.81,0.0,top
C306,208.4,-68.01,0.0,top
C307,204.7,-79.0,180.0,top
C308,206.96,-79.0,0.0,top
C401,177.503214,-56.95,180.0,top
C402,180.55,-56.91,180.0,top
C403,203.9125,-53.7,0.0,top
C404,204.8375,-56.4875,270.0,top
C405,195.7625,-53.8,0.0,top
C406,200.8125,-50.9,270.0,top
C407,207.7375,-53.4875,180.0,top
C408,192.7625,-50.875,270.0,top
C409,198.9625,-50.9,270.0,top
C410,207.7125,-59.4875,180.0,top
C411,206.9625,-50.9,270.0,top
C501,187.75,-75.35,270.0,top
C502,192.4475,-75.3375,90.0,top
C503,178.05,-64.45,180.0,top
D402,186.8,-51.4,90.0,top
D403,190.05,-51.4,90.0,top
D501,181.78,-74.68,270.0,top
J301,183.848214,-46.08,180.0,top
J501,181.53,-81.155,0.0,top
J505,186.910714,-43.53,0.0,top
J506,189.905357,-43.53,0.0,top
J508,192.9,-43.53,0.0,top
J509,195.894643,-43.53,0.0,top
J510,198.889285,-43.53,0.0,top
J511,201.883928,-43.53,0.0,top
J512,180.785714,-46.08,180.0,top
J513,204.878571,-43.53,0.0,top
J514,207.873214,-43.53,0.0,top
J515,177.723214,-46.08,180.0,top
LED201,203.0,-83.15,90.0,top
LED202,205.52,-83.15,90.0,top
Q501,200.5,-54.5875,270.0,top
R201,191.8,-55.21,270.0,top
R202,190.6,-55.2,270.0,top
R203,201.34,-73.6,0.0,top
R204,201.35,-72.4,0.0,top
R205,189.4,-55.2,90.0,top
R206,182.79,-59.5,0.0,top
R207,182.79,-60.8,0.0,top
R301,203.5,-71.15,90.0,top
R302,203.4,-65.3,90.0,top
R401,176.923214,-55.298531,90.0,top
R402,178.073214,-55.29,270.0,top
R403,179.93,-55.26,270.0,top
R404,181.1,-55.26,90.0,top
R501,179.83,-75.305,90.0,top
R502,183.68,-75.305,90.0,top
R503,196.8475,-75.337499,270.0,top
R504,195.6475,-75.337499,90.0,top
R505,193.5975,-75.337499,270.0,top
R506,191.2475,-75.337499,270.0,top
R507,190.0975,-75.337499,270.0,top
R508,188.9475,-75.337499,270.0,top
R509,178.05,-58.7,0.0,top
SW201,178.6,-69.85,270.0,top
U201,192.925,-65.3,270.0,top
U301,205.7,-66.81,90.0,top
U302,205.71,-72.61,90.0,top
U303,205.8,-76.8,90.0,top
U401,207.6875,-56.45,270.0,top
U402,203.9125,-50.9,0.0,top
U403,195.7625,-50.9,0.0,top
U501,192.8975,-80.4875,180.0,top
U502,178.025,-61.3,90.0,top
U503,192.913214,-34.14,0.0,top
Y201,181.625,-65.0,0.0,top
